april-x april-y april-z mät-x   mät-y   mät-z   typ
-0.046  -0.003  1.993   0.000   0.000   2.000   rak
-0.048  -0.201  2.002   0.000   -0.200  2.000   upp
-0.050  -0.399  2.028   0.000   -0.400  2.000   upp
Null    Null    Null    0.000   -0.600  2.000   upp
-0.045  0.195   1.998   0.000   0.200   2.000   ner
-0.045  0.393   2.013   0.000   0.400   2.000   ner
-0.045  0.592   2.043   0.000   0.600   2.000   ner

kameran hittar tagen mellan -0.516 till 0.660

-0.091  0.008   3.975   0.000   0.000   4.000   rak
-0.090  0.208   3.994   0.000   0.200   4.000   ner
-0.088  0.409   4.002   0.000   0.400   4.000   ner
-0.087  0.607   4.015   0.000   0.600   4.000   ner
-0.086  0.814   4.056   0.000   0.800   4.000   ner
-0.084  1.016   4.083   0.000   1.000   4.000   ner
-0.083  1.211   4.124   0.000   1.200   4.000   ner
-0.082  1.419   4.183   0.000   1.400   4.000   ner
NULL    NULL    NULL    0.000   1.600   4.000   ner

-0.091  -0.195  3.980   0.000   -0.200  4.000   upp
-0.093  -0.396  3.998   0.000   -0.400  4.000   upp
-0.094  -0.600  4.040   0.000   -0.600  4.000   upp
-0.095  -0.801  4.063   0.000   -0.800  4.000   upp
-0.096  -1.006  4.094   0.000   -1.000  4.000   upp
NULL    NULL    NULL    0.000   -1.200  4.000   upp

