april-x april-y april-z mät-z   mät-y   mät-x   rotation
0.005   -0.015   -1.978 2.000   0.000   0.000   0   
-0.001  -0.016  1.980   2.000   0.000   0.000   30
0.005   -0.015  1.987   2.000   0.000   0.000   45
0.003   -0.015  1.992   2.000   0.000   0.000   60
-0.002  -0.016  1.968   2.000   0.000   0.000   -30
-0.008  -0.016  1.964   2.000   0.000   0.000   -45
-0.013  -0.016  1.963   2.000   0.000   0.000   -60


---4m----

0.001   -0.004  4.010   4.000   0.000   0.000   0
-0.007  -0.004  4.015   4.000   0.000   0.000   30      
-0.006  -0.004  4.014   4.000   0.000   0.000   45
-0.004  -0.004  4.017   4.000   0.000   0.000   60
0.009   -0.004  4.001   4.000   0.000   0.000   -30
0.002   -0.004  3.995   4.000   0.000   0.000   -45
-0.005  -0.003  3.984   4.000   0.000   0.000   -60
